Model,Tokens,Max-Ctx,coursera,gsm100,quality     ,tpo,Avg,topic_ret.,PE,IDD
claude1.3-100k,100k,100k,60.17,88.00,73.76,83.64,76.39,70.66,x,—
turbo-16k-0613,16k,16k,62.50,84.00,61.38,78.43,71.57,69.33,x,—
bm25-turbo-0613 (Ret.),4k,4k,68.75,23.00,59.40,75.09,56.56,39.33,x,—
ada-turbo-0613 (Ret.),4k,4k,65.69,23.00,58.91,76.95,56.13,37.33,x,—
llama2-13b-chat,4k,4k,40.11,39.00,42.57,60.96,45.66,36.00,x,—
chatglm2-6b-8k,8k,8k,47.23,13.00,40.59,53.90,38.46,42.00,x,—
llama2-7b-chat,4k,4k,38.95,19.00,37.62,51.67,36.81,52.00,x,—
longchat-13b-16k,16k,16k,36.77,15.00,40.59,55.39,36.93,33.33,x,x
longchat-7b-16k,16k,16k,39.53,11.00,31.68,49.07,32.67,36.66,x,x
xgen-7b-8k,8k,8k,35.61,16.00,33.66,42.37,31.90,4.67,x,x
vicuna1.3-7b,2k,2k,39.38,19.00,32.67,43.49,33.63,48.57,x,x
