Model,Tokens,Max-Ctx,Financial,Contract,Multidoc,Narrative,NQ,Scientific,F1 Avg,Length,PE,IDD
turbo-16k-0613,16k,16k,45.36,24.87,31.45,18.20,45.90,28.25,32.33,,x,—
ada-turbo-0613 (Ret.),4k,4k,39.69,24.09,35.62,18.59,49.66,33.36,33.50,,x,—
bm25-turbo-0613 (Ret.),4k,4k,40.79,26.10,35.17,16.32,53.73,25.83,32.99,,x,—
llama2-13b-chat,4k,4k,38.07,23.14,26.14,16.76,35.43,27.46,27.83,,x,—
llama2-7b-chat,4k,4k,40.06,23.00,27.28,13.48,28.11,25.95,26.31,,x,—
longchat-13b-16k,16k,16k,37.85,21.11,12.18,14.76,22.75,14.95,20.60,,x,—
longchat-7b-16k,16k,16k,38.37,26.78,8.31,15.17,20.21,9.74,19.76,,x,—
xgen-7b-8k,8k,8k,36.40,22.01,17.08,9.41,13.88,20.23,19.83,,x,x
vicuna1.3-7b,2k,2k,30.49,17.69,17.70,14.57,15.49,7.69,17.27,,x,x
chatglm2-6b-8k,8k,8k,33.17,15.76,13.76,7.02,3.50,6.36,13.26,,x,x
